acceptance		приём, признание, принятие, одобрение
advanced		передовой, прогрессивный
bidding			торги, предложение цены
binding			связь, связывающий, сращивание
boundary		граница, пограничный, черта
cannot			не_могу
certain			определённый, точный, некоторый
confluence		слияние, пересечение, толпа
convert			переделать, переделывать, преобразовать, преобразовывать, реконструировать
currently		в_настоящее_время, сейчас, настоящий, текущий
dictionary		словарь
different		различный, другой
during			в_течение
doing			делающий
engine			мотор, двигатель, механизм
entity			сущность, объект
entry			начальный, входной, вход, въезд
experience		опыт, стаж
few			немного, несколько
flexible		гибкий
inconsistent		несовместимый, несоответствующий
indentation		углубление, вырез, отпечаток
instant			момент, мгновенный, мгновение, текущий, немедленный
intermediate		средний, промежуточный
into			в, к, на
involving		с_участием, включающий, предусматривающий
issue			вопрос, проблема
large			большой, крупный, значительный
lead			вести, руководить, управлять, командовать
look			смотреть, искать
looking			ищущий, глядящий, следящий
mine			добывать, рудник, шахта
mining 			добыча
need			нужно, необходимо
one time		один_раз
ongoing			постоянный
proposal		заявка, предложение
quote			цитата, выдержка
rating			ранг, разряд, оценка
recency			новизна, свежесть
related			связанный
relative		относительный, условный, взаимный, родственник
relevance		уместность
require			нуждаться, требовать, обязательный
research		исследование, изучение, изыскание
scrap			вырезка
scraping		выскабливание
self			сам, себя, само, собственная_личность
several 		несколько, некоторый
since			после, впоследствии, после_того, так_как
small			маленький, мелкий, небольшой, низкий, слабый
some			некоторый, несколько, некий
someone			кто-то, некто
spending		затраты, расходы
spreadsheet		таблица
stats			статистика
task			задача
term			условие, срок, период
those			те, то
title			заголовок, заглавие, название, надпись
town			город
watch			смотреть, наблюдать, следить, караулись, вахта, дозор
while			пока, хотя, не_смотря_на
with			с, от, за, у, причём
within			не_позднее, в_течение, внутри, в_пределах
